"Data exported from:",http://scotssyntaxatlas.ac.uk/api/v1/csv/attributes
pid,code,pname,pdesc,atname,atdescription,aid,soundclips
29,c8,"HAVE-RAISING - QUESTIONS",,"<b>Had we a lot</b> of snow last Christmas?",,64
14,h1,IMPERATIVES,,"<b>Gonnae</b> turn the volume down!",,188,https://scotssyntaxatlas.ac.uk/feature-sound-clips/h1-25.mp3
14,h10,IMPERATIVES,,"<b>Mere you</b> over here and let us see it!",,108
14,h11,IMPERATIVES,,"<b>Get that watched</b>, it's brilliant.",,109
14,h14,IMPERATIVES,,"<b>Calm you down</b>, it's no that bad.",,110
14,h2,IMPERATIVES,,"<b>Gonnae you</b> leave us alone!",,261
14,h4,IMPERATIVES,,"<b>Wantae you</b> leave me alone!",,191
14,h6,IMPERATIVES,,"<b>Come away you</b> over here and I'll fix your shoes.",,279
14,h8,IMPERATIVES,,"<b>Away you</b> over there and behave!",,106
14,h9,IMPERATIVES,,"<b>Mon you</b> over here for a photo!",,107
20,o1,"INVERSION - EMBEDDED INVERSION",,"I asked <b>was he here</b> for long.",,147
20,o2,"INVERSION - EMBEDDED INVERSION",," I'm trying to remember <b>where did I leave</b> my keys.",,232
20,o42,"INVERSION - EMBEDDED INVERSION",," I asked <b>is he here</b> for long.",,157
20,o43,"INVERSION - EMBEDDED INVERSION",,"I don't remember <b>what did I get</b> last time.",,158
20,o44,"INVERSION - EMBEDDED INVERSION",,"I don't remember <b>what one did I get</b> last time.",,159
5,h7,"INVERSION - VERB RAISING",,"<b>Go you</b> over there!",,192
5,o3,"INVERSION - VERB RAISING",,"<b>Take you</b> a peerie sweetie.",,229
5,o45,"INVERSION - VERB RAISING",,"<b>Where bides she</b> now?",,224
5,o46,"INVERSION - VERB RAISING",,"<b>When goes she</b> away again?",,233
5,o49,"INVERSION - VERB RAISING",,"<b>Say they</b> we should bring wine?",,236
49,d22,"LOCATIVE DISCOVERY EXPRESSIONS - DOUBLING",,"<b>There it's there!</b>",,81,https://scotssyntaxatlas.ac.uk/feature-sound-clips/d22-237.mp3
49,d26,"LOCATIVE DISCOVERY EXPRESSIONS - DOUBLING",,"<b>Here it's here</b>!",,83
